code,naam,categorie,verwacht_bestand,commons_zoekurl,wikipedia_referentie
E011,Oogspoelstation,Eerstehulp / veilige toestand,ISO_7010_E011.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E011&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E012,Nooddouche,Eerstehulp / veilige toestand,ISO_7010_E012.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E012&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E013,Brancard,Eerstehulp / veilige toestand,ISO_7010_E013.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E013&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E016,Nooduitgang via raam met vluchtladder,Eerstehulp / veilige toestand,ISO_7010_E016.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E016&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E017,Reddingsvenster,Eerstehulp / veilige toestand,ISO_7010_E017.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E017&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E018,Draai tegen de klok in om te openen,Eerstehulp / veilige toestand,ISO_7010_E018.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E018&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
E019,Draai met de klok mee om te openen,Eerstehulp / veilige toestand,ISO_7010_E019.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+E019&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
F001,Brandblusser,Brandpreventie,ISO_7010_F001.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+F001&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
F002,Brandhaspel,Brandpreventie,ISO_7010_F002.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+F002&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
F003,Brandladder,Brandpreventie,ISO_7010_F003.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+F003&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
F004,Brandbestrijdingsmiddelen,Brandpreventie,ISO_7010_F004.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+F004&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
F005,Handmelder,Brandpreventie,ISO_7010_F005.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+F005&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
F006,Brandalarmtelefoon,Brandpreventie,ISO_7010_F006.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+F006&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
F007,Brandwerende deur,Brandpreventie,ISO_7010_F007.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+F007&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
A090R,Brandpreventie-richtingspijl (90°),Brandpreventie,ISO_7010_A090R.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+A090R&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
A045R,Brandpreventie-richtingspijl (45°),Brandpreventie,ISO_7010_A045R.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+A045R&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M001,Algemeen gebodsteken,Gebod,ISO_7010_M001.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M001&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M002,Zie instructieboekje/handleiding,Gebod,ISO_7010_M002.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M002&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M003,Draag gehoorbescherming,Gebod,ISO_7010_M003.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M003&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M004,Draag oogbescherming,Gebod,ISO_7010_M004.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M004&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M005,Sluit een aardklem aan op aarde,Gebod,ISO_7010_M005.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M005&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M006,Haal de stekker uit het stopcontact,Gebod,ISO_7010_M006.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M006&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M007,Draag ondoorzichtige oogbescherming,Gebod,ISO_7010_M007.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M007&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M008,Draag voetbescherming,Gebod,ISO_7010_M008.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M008&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M009,Draag beschermende handschoenen,Gebod,ISO_7010_M009.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M009&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M010,Draag beschermende kleding,Gebod,ISO_7010_M010.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M010&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M011,Was je handen,Gebod,ISO_7010_M011.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M011&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M012,Gebruik leuning,Gebod,ISO_7010_M012.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M012&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M013,Draag gelaatsbescherming,Gebod,ISO_7010_M013.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M013&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M014,Draag een helm,Gebod,ISO_7010_M014.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M014&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M015,Draag kleding met hoge zichtbaarheid,Gebod,ISO_7010_M015.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M015&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M016,Draag mondkap/masker,Gebod,ISO_7010_M016.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M016&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M017,Draag adembescherming,Gebod,ISO_7010_M017.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M017&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M018,Draag veiligheidsharnas,Gebod,ISO_7010_M018.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M018&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M019,Draag lasmasker,Gebod,ISO_7010_M019.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M019&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M020,Draag veiligheidsgordel,Gebod,ISO_7010_M020.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M020&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M021,Ontkoppelen vóór onderhoud of reparatie,Gebod,ISO_7010_M021.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M021&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M022,Gebruik barrièrecrème,Gebod,ISO_7010_M022.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M022&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M023,Gebruik loopbrug,Gebod,ISO_7010_M023.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M023&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M024,Gebruik deze looproute,Gebod,ISO_7010_M024.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M024&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M025,Bescherm de ogen van baby's met ondoorzichtige oogbescherming,Gebod,ISO_7010_M025.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M025&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M026,Gebruik beschermend schort,Gebod,ISO_7010_M026.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M026&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M027,Afscherming installeren of controleren,Gebod,ISO_7010_M027.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M027&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M028,Sluit en houd vergrendeld,Gebod,ISO_7010_M028.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M028&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M029,Claxonneer/toeter,Gebod,ISO_7010_M029.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M029&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M030,Doe afval in de prullenbak,Gebod,ISO_7010_M030.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M030&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M031,Gebruik beschermkap van tafelzaag,Gebod,ISO_7010_M031.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M031&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M032,Gebruik antistatisch of vonkwerend schoeisel,Gebod,ISO_7010_M032.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M032&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M033,Veiligheidsbeugel skistoeltjeslift omlaag,Gebod,ISO_7010_M033.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M033&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M034,Veiligheidsbeugel skistoeltjeslift omhoog,Gebod,ISO_7010_M034.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M034&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M035,Verlaat skiliftpad na een val,Gebod,ISO_7010_M035.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M035&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M036,Houd skitips omhoog,Gebod,ISO_7010_M036.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M036&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M037,Sluit en beveilig het luik,Gebod,ISO_7010_M037.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M037&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M038,Start de motor,Gebod,ISO_7010_M038.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M038&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M039,Laat de reddingsboot zakken,Gebod,ISO_7010_M039.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M039&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M040,Laat de reddingsboot zakken,Gebod,ISO_7010_M040.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M040&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M041,Laat de reddingsboot zakken,Gebod,ISO_7010_M041.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M041&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M042,Maak reddingsboothaken los,Gebod,ISO_7010_M042.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M042&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M043,Start waterstraal reddingsboot,Gebod,ISO_7010_M043.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M043&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M044,Start luchttoevoer reddingsboot,Gebod,ISO_7010_M044.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M044&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M045,Laat touwen/grepen los,Gebod,ISO_7010_M045.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M045&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M046,Beveilig gasflessen,Gebod,ISO_7010_M046.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M046&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M047,Gebruik autonoom ademhalingstoestel,Gebod,ISO_7010_M047.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M047&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M048,Gebruik gasdetector,Gebod,ISO_7010_M048.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M048&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M049,Gebruik sportbeschermingsmiddelen,Gebod,ISO_7010_M049.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M049&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M050,Verlaat rodelbaan links,Gebod,ISO_7010_M050.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M050&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M051,Verlaat rodelbaan rechts,Gebod,ISO_7010_M051.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M051&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M052,Houd veilige afstand tussen sleeën,Gebod,ISO_7010_M052.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M052&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M053,Draag persoonlijk drijfmiddel/reddingsvest,Gebod,ISO_7010_M053.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M053&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M054,Houd toezicht op kinderen bij wateractiviteiten,Gebod,ISO_7010_M054.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M054&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
M055,Buiten bereik van kinderen bewaren,Gebod,ISO_7010_M055.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+M055&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P001,Algemeen verbodsteken,Verbod,ISO_7010_P001.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P001&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P002,Verboden te roken,Verbod,ISO_7010_P002.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P002&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P003,Geen open vuur,Verbod,ISO_7010_P003.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P003&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P004,Geen doorgang voor voetgangers,Verbod,ISO_7010_P004.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P004&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P005,Geen drinkwater,Verbod,ISO_7010_P005.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P005&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P006,Geen toegang voor vorkheftrucks en industriële voertuigen,Verbod,ISO_7010_P006.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P006&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P007,Geen toegang voor personen met actieve geïmplanteerde hartapparaten,Verbod,ISO_7010_P007.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P007&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P008,Geen metalen voorwerpen of horloges,Verbod,ISO_7010_P008.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P008&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P010,Niet aanraken,Verbod,ISO_7010_P010.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P010&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P011,Niet blussen met water,Verbod,ISO_7010_P011.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P011&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P012,Geen zware belasting,Verbod,ISO_7010_P012.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P012&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P013,Geen geactiveerde mobiele telefoon,Verbod,ISO_7010_P013.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P013&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P014,Geen toegang voor personen met metalen implantaten,Verbod,ISO_7010_P014.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P014&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P015,Niet naar binnen reiken,Verbod,ISO_7010_P015.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P015&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P017,Niet duwen,Verbod,ISO_7010_P017.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P017&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P018,Niet zitten,Verbod,ISO_7010_P018.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P018&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P019,Niet op het oppervlak stappen,Verbod,ISO_7010_P019.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P019&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P020,Bij brand geen lift gebruiken,Verbod,ISO_7010_P020.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P020&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P021,Geen honden,Verbod,ISO_7010_P021.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P021&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P022,Niet eten of drinken,Verbod,ISO_7010_P022.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P022&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P023,Niet hinderen,Verbod,ISO_7010_P023.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P023&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P024,Loop of sta hier niet,Verbod,ISO_7010_P024.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P024&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P025,Gebruik deze onvolledige steiger niet,Verbod,ISO_7010_P025.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P025&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P026,"Gebruik dit apparaat niet in bad, douche of met water gevuld reservoir",Verbod,ISO_7010_P026.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P026&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P027,Deze lift is niet voor personen,Verbod,ISO_7010_P027.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P027&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P028,Draag geen handschoenen,Verbod,ISO_7010_P028.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P028&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P029,Niet fotograferen,Verbod,ISO_7010_P029.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P029&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P030,Leg geen knopen in het touw,Verbod,ISO_7010_P030.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P030&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P031,Niet schakelen,Verbod,ISO_7010_P031.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P031&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P032,Niet vlakslijpen,Verbod,ISO_7010_P032.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P032&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P033,Niet gebruiken voor nat slijpen,Verbod,ISO_7010_P033.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P033&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
P034,Niet gebruiken met handslijper,Verbod,ISO_7010_P034.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+P034&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W001,Algemeen waarschuwingsteken,Waarschuwing,ISO_7010_W001.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W001&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W002,Explosieve materialen,Waarschuwing,ISO_7010_W002.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W002&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W003,Radioactief materiaal of ioniserende straling,Waarschuwing,ISO_7010_W003.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W003&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W004,Laserstraal,Waarschuwing,ISO_7010_W004.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W004&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W005,Niet-ioniserende straling,Waarschuwing,ISO_7010_W005.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W005&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W006,Magnetisch veld,Waarschuwing,ISO_7010_W006.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W006&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W007,Obstakel op vloerniveau,Waarschuwing,ISO_7010_W007.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W007&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W008,Valgevaar,Waarschuwing,ISO_7010_W008.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W008&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W009,Biologisch gevaar,Waarschuwing,ISO_7010_W009.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W009&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W010,Gevaar bij lage temperatuur,Waarschuwing,ISO_7010_W010.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W010&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W011,Glad oppervlak,Waarschuwing,ISO_7010_W011.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W011&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W012,Elektriciteitsgevaar,Waarschuwing,ISO_7010_W012.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W012&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W013,Waakhond,Waarschuwing,ISO_7010_W013.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W013&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W014,Vorkheftruck en andere industriële voertuigen,Waarschuwing,ISO_7010_W014.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W014&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W015,Hangende last,Waarschuwing,ISO_7010_W015.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W015&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W016,Giftig materiaal,Waarschuwing,ISO_7010_W016.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W016&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
W017,Heet oppervlak,Waarschuwing,ISO_7010_W017.svg,https://commons.wikimedia.org/w/index.php?search=ISO+7010+W017&title=Special:MediaSearch&type=image,https://nl.wikipedia.org/wiki/ISO_7010
